:START_ID(Product),:END_ID(Component),:TYPE,source
iphone_17,soc,USES_COMPONENT,techinsights;ifixit
iphone_17,display_panel,USES_COMPONENT,techinsights;ifixit
iphone_17,cover_glass,USES_COMPONENT,techinsights;ifixit
iphone_17,cis,USES_COMPONENT,techinsights;ifixit
iphone_17,lens,USES_COMPONENT,techinsights;ifixit
iphone_17,ois,USES_COMPONENT,techinsights;ifixit
iphone_17,dram,USES_COMPONENT,techinsights;ifixit
iphone_17,nand,USES_COMPONENT,techinsights;ifixit
iphone_17,modem,USES_COMPONENT,techinsights;ifixit
iphone_17,connectivity,USES_COMPONENT,techinsights;ifixit
iphone_17,audio_codec,USES_COMPONENT,techinsights;ifixit
iphone_17,pmic,USES_COMPONENT,techinsights;ifixit
iphone_17,battery,USES_COMPONENT,techinsights;ifixit
iphone_17,enclosure,USES_COMPONENT,techinsights;ifixit
iphone_17,fpc,USES_COMPONENT,techinsights;ifixit
iphone_17,pcb,USES_COMPONENT,techinsights;ifixit
iphone_17,substrate,USES_COMPONENT,techinsights;ifixit
iphone_17,osat,USES_COMPONENT,techinsights;ifixit
iphone_17,speaker,USES_COMPONENT,techinsights;ifixit
iphone_17,mic,USES_COMPONENT,techinsights;ifixit
iphone_17,sensor_motion,USES_COMPONENT,techinsights;ifixit
iphone_17,optical_filter,USES_COMPONENT,techinsights;ifixit
iphone_17,uwb,USES_COMPONENT,techinsights;ifixit
iphone_17_air,soc,USES_COMPONENT,techinsights;ifixit
iphone_17_air,display_panel,USES_COMPONENT,techinsights;ifixit
iphone_17_air,cover_glass,USES_COMPONENT,techinsights;ifixit
iphone_17_air,cis,USES_COMPONENT,techinsights;ifixit
iphone_17_air,lens,USES_COMPONENT,techinsights;ifixit
iphone_17_air,ois,USES_COMPONENT,techinsights;ifixit
iphone_17_air,dram,USES_COMPONENT,techinsights;ifixit
iphone_17_air,nand,USES_COMPONENT,techinsights;ifixit
iphone_17_air,modem,USES_COMPONENT,techinsights;ifixit
iphone_17_air,connectivity,USES_COMPONENT,techinsights;ifixit
iphone_17_air,audio_codec,USES_COMPONENT,techinsights;ifixit
iphone_17_air,pmic,USES_COMPONENT,techinsights;ifixit
iphone_17_air,battery,USES_COMPONENT,techinsights;ifixit
iphone_17_air,enclosure,USES_COMPONENT,techinsights;ifixit
iphone_17_air,fpc,USES_COMPONENT,techinsights;ifixit
iphone_17_air,pcb,USES_COMPONENT,techinsights;ifixit
iphone_17_air,substrate,USES_COMPONENT,techinsights;ifixit
iphone_17_air,osat,USES_COMPONENT,techinsights;ifixit
iphone_17_air,speaker,USES_COMPONENT,techinsights;ifixit
iphone_17_air,mic,USES_COMPONENT,techinsights;ifixit
iphone_17_air,sensor_motion,USES_COMPONENT,techinsights;ifixit
iphone_17_air,optical_filter,USES_COMPONENT,techinsights;ifixit
iphone_17_air,uwb,USES_COMPONENT,techinsights;ifixit
iphone_17_pro,soc,USES_COMPONENT,techinsights;ifixit
iphone_17_pro,display_panel,USES_COMPONENT,techinsights;ifixit
iphone_17_pro,cover_glass,USES_COMPONENT,techinsights;ifixit
iphone_17_pro,cis,USES_COMPONENT,techinsights;ifixit
iphone_17_pro,lens,USES_COMPONENT,techinsights;ifixit
iphone_17_pro,ois,USES_COMPONENT,techinsights;ifixit
iphone_17_pro,dram,USES_COMPONENT,techinsights;ifixit
iphone_17_pro,nand,USES_COMPONENT,techinsights;ifixit
iphone_17_pro,modem,USES_COMPONENT,techinsights;ifixit
iphone_17_pro,connectivity,USES_COMPONENT,techinsights;ifixit
iphone_17_pro,audio_codec,USES_COMPONENT,techinsights;ifixit
iphone_17_pro,pmic,USES_COMPONENT,techinsights;ifixit
iphone_17_pro,battery,USES_COMPONENT,techinsights;ifixit
iphone_17_pro,enclosure,USES_COMPONENT,techinsights;ifixit
iphone_17_pro,fpc,USES_COMPONENT,techinsights;ifixit
iphone_17_pro,pcb,USES_COMPONENT,techinsights;ifixit
iphone_17_pro,substrate,USES_COMPONENT,techinsights;ifixit
iphone_17_pro,osat,USES_COMPONENT,techinsights;ifixit
iphone_17_pro,speaker,USES_COMPONENT,techinsights;ifixit
iphone_17_pro,mic,USES_COMPONENT,techinsights;ifixit
iphone_17_pro,sensor_motion,USES_COMPONENT,techinsights;ifixit
iphone_17_pro,optical_filter,USES_COMPONENT,techinsights;ifixit
iphone_17_pro,uwb,USES_COMPONENT,techinsights;ifixit
iphone_17_pmax,soc,USES_COMPONENT,techinsights;ifixit
iphone_17_pmax,display_panel,USES_COMPONENT,techinsights;ifixit
iphone_17_pmax,cover_glass,USES_COMPONENT,techinsights;ifixit
iphone_17_pmax,cis,USES_COMPONENT,techinsights;ifixit
iphone_17_pmax,lens,USES_COMPONENT,techinsights;ifixit
iphone_17_pmax,ois,USES_COMPONENT,techinsights;ifixit
iphone_17_pmax,dram,USES_COMPONENT,techinsights;ifixit
iphone_17_pmax,nand,USES_COMPONENT,techinsights;ifixit
iphone_17_pmax,modem,USES_COMPONENT,techinsights;ifixit
iphone_17_pmax,connectivity,USES_COMPONENT,techinsights;ifixit
iphone_17_pmax,audio_codec,USES_COMPONENT,techinsights;ifixit
